,0
2009-03-30,-41800.0
2009-03-31,11800.0
2009-04-01,31800.0
2009-04-02,54400.0
2009-04-03,0.0
2009-04-06,8600.0
2009-04-07,12400.0
2009-04-08,-18200.0
2009-04-09,54000.0
2009-04-10,44800.0
2009-04-13,11000.0
2009-04-14,-13200.0
2009-04-15,4800.0
2009-04-16,29400.0
2009-04-17,-60800.0
2009-04-20,-16600.0
2009-04-21,42400.0
2009-04-22,-14000.0
2009-04-23,13000.0
2009-04-24,-2600.0
2009-04-27,-39400.0
2009-04-28,-52800.0
2009-04-29,17800.0
2009-04-30,94800.0
2009-05-04,101200.0
2009-05-05,15200.0
2009-05-06,6200.0
2009-05-07,28600.0
2009-05-08,-14600.0
2009-05-11,11400.0
2009-05-12,-23000.0
2009-05-13,-4600.0
2009-05-14,-25600.0
2009-05-15,31200.0
2009-05-18,24400.0
2009-05-19,10200.0
2009-05-20,-11400.0
2009-05-21,-2000.0
2009-05-22,9400.0
2009-05-25,17600.0
2009-05-26,8000.0
2009-05-27,29400.0
2009-06-01,24800.0
2009-06-02,-10000.0
2009-06-03,-13200.0
2009-06-04,-24800.0
2009-06-05,-4600.0
2009-06-06,19800.0
2009-06-08,-42800.0
2009-06-09,-52400.0
2009-06-10,-1200.0
2009-06-11,22400.0
2009-06-12,-5200.0
2009-06-15,-53200.0
2009-06-16,9800.0
2009-06-17,-6200.0
2009-06-18,-28600.0
2009-06-19,14600.0
2009-06-22,10000.0
2009-06-23,-40600.0
2009-06-24,44600.0
2009-06-25,31400.0
2009-06-26,4400.0
2009-06-29,-13400.0
2009-06-30,-2200.0
2009-07-01,38800.0
2009-07-02,19600.0
2009-07-03,-3200.0
2009-07-06,9600.0
2009-07-07,2400.0
2009-07-08,-19200.0
2009-07-09,23000.0
2009-07-10,-2000.0
2009-07-13,-75800.0
2009-07-14,20600.0
2009-07-15,48400.0
2009-07-16,-21600.0
2009-07-17,14400.0
2009-07-20,28400.0
2009-07-21,5400.0
2009-07-22,4600.0
2009-07-23,-1800.0
2009-07-24,3800.0
2009-07-27,6400.0
2009-07-28,19600.0
2009-07-29,3400.0
2009-07-30,-20200.0
2009-07-31,7200.0
2009-08-03,1200.0
2009-08-04,-1200.0
2009-08-05,-21800.0
2009-08-06,-400.0
2009-08-10,5200.0
2009-08-11,12800.0
2009-08-12,-11800.0
2009-08-13,41000.0
2009-08-14,26400.0
2009-08-17,-30200.0
2009-08-18,-30400.0
2009-08-19,-10800.0
2009-08-20,-40000.0
2009-08-21,-17400.0
2009-08-24,56400.0
2009-08-25,-13600.0
2009-08-26,-21200.0
2009-08-27,-13200.0
2009-08-28,17400.0
2009-08-31,7600.0
2009-09-01,40000.0
2009-09-02,800.0
2009-09-03,20600.0
2009-09-04,600.0
2009-09-07,12800.0
2009-09-08,34000.0
2009-09-09,-2800.0
2009-09-10,28400.0
2009-09-11,6200.0
2009-09-14,-23000.0
2009-09-15,18400.0
2009-09-16,21800.0
2009-09-17,14400.0
2009-09-18,-12600.0
2009-09-21,3000.0
2009-09-22,-12200.0
2009-09-23,-25800.0
2009-09-24,-14400.0
2009-09-25,-200.0
2009-09-28,2800.0
2009-09-29,17000.0
2009-09-30,21000.0
2009-10-01,15400.0
2009-10-02,-48200.0
2009-10-05,6800.0
2009-10-06,25400.0
2009-10-07,33600.0
2009-10-08,-9400.0
2009-10-09,20600.0
2009-10-12,4000.0
2009-10-13,-7800.0
2009-10-14,23000.0
2009-10-15,-1600.0
2009-10-16,-4600.0
2009-10-19,14800.0
2009-10-20,-10200.0
2009-10-21,-4800.0
2009-10-22,-25600.0
2009-10-23,11200.0
2009-10-26,16600.0
2009-10-27,-11600.0
2009-10-28,-24400.0
2009-10-29,-45200.0
2009-10-30,-18800.0
2009-11-02,-3800.0
2009-11-03,1400.0
2009-11-04,42400.0
2009-11-05,-10200.0
2009-11-06,20600.0
2009-11-09,23600.0
2009-11-10,11600.0
2009-11-11,14200.0
2009-11-12,5000.0
2009-11-13,-1600.0
2009-11-16,25000.0
2009-11-17,-11000.0
2009-11-18,18800.0
2009-11-19,-32000.0
2009-11-20,-6000.0
2009-11-23,-1200.0
2009-11-24,8000.0
2009-11-25,18200.0
2009-11-26,-12600.0
2009-11-27,-71400.0
2009-11-30,23400.0
2009-12-01,24000.0
2009-12-02,8000.0
2009-12-03,-1400.0
2009-12-04,-22000.0
2009-12-07,33200.0
2009-12-08,-4200.0
2009-12-09,9200.0
2009-12-10,-43200.0
2009-12-11,44000.0
2009-12-14,22000.0
2009-12-15,-12600.0
2009-12-16,-10600.0
2009-12-17,-25400.0
2009-12-18,6200.0
2009-12-21,3400.0
2009-12-22,20200.0
2009-12-23,-6600.0
2009-12-24,20000.0
2009-12-25,-2400.0
2009-12-28,21000.0
2009-12-29,-1400.0
2009-12-30,6200.0
2009-12-31,22400.0
2010-01-04,-3200.0
2010-01-05,20800.0
2010-01-06,46800.0
2010-01-07,-8800.0
2010-01-08,9400.0
2010-01-11,20800.0
2010-01-12,-13200.0
2010-01-13,-19000.0
2010-01-14,4400.0
2010-01-15,4600.0
2010-01-18,4600.0
2010-01-19,-21400.0
2010-01-20,-11400.0
2010-01-21,-10800.0
2010-01-22,-45800.0
2010-01-25,-19800.0
2010-01-26,-72800.0
2010-01-27,600.0
2010-01-28,21000.0
2010-01-29,-17000.0
2010-02-01,-1600.0
2010-02-02,-45800.0
2010-02-03,16400.0
2010-02-04,1200.0
2010-02-05,-58800.0
2010-02-06,-9400.0
2010-02-08,1800.0
2010-02-09,38200.0
2010-02-10,29000.0
2010-02-22,31600.0
2010-02-23,16000.0
2010-02-24,-6600.0
2010-02-25,-22400.0
2010-02-26,8000.0
2010-03-01,42800.0
2010-03-02,2200.0
2010-03-03,9200.0
2010-03-04,-19800.0
2010-03-05,30200.0
2010-03-08,12800.0
2010-03-09,-5200.0
2010-03-10,2200.0
2010-03-11,-3000.0
2010-03-12,3600.0
2010-03-15,-23800.0
2010-03-16,14600.0
2010-03-17,30600.0
2010-03-18,-2200.0
2010-03-19,6000.0
2010-03-22,-10600.0
2010-03-23,-5200.0
2010-03-24,2400.0
2010-03-25,0.0
2010-03-26,8400.0
2010-03-29,25400.0
2010-03-30,5800.0
2010-03-31,-13000.0
2010-04-01,30000.0
2010-04-02,2400.0
2010-04-06,11000.0
2010-04-07,14600.0
2010-04-08,21600.0
2010-04-09,-16800.0
2010-04-12,11600.0
2010-04-13,-21600.0
2010-04-14,26000.0
2010-04-15,23800.0
2010-04-16,-8800.0
2010-04-19,-78600.0
2010-04-20,1000.0
2010-04-21,14800.0
2010-04-22,-22200.0
2010-04-23,2200.0
2010-04-26,50000.0
2010-04-27,-2000.0
2010-04-28,-20000.0
2010-04-29,8600.0
2010-04-30,-2600.0
2010-05-03,-13000.0
2010-05-04,-25400.0
2010-05-05,-52400.0
2010-05-06,-16000.0
2010-05-07,-18200.0
2010-05-10,33200.0
2010-05-11,-23000.0
2010-05-12,6600.0
2010-05-13,45000.0
2010-05-14,-400.0
2010-05-17,-30600.0
2010-05-18,11200.0
2010-05-19,-5600.0
2010-05-20,-57800.0
2010-05-21,-41800.0
2010-05-24,12600.0
2010-05-25,-55400.0
2010-05-26,2000.0
2010-05-27,27400.0
2010-05-28,15600.0
2010-05-31,17400.0
2010-06-01,-30000.0
2010-06-02,-20000.0
2010-06-03,42000.0
2010-06-04,-3200.0
2010-06-07,-43600.0
2010-06-08,19800.0
2010-06-09,-24200.0
2010-06-10,29400.0
2010-06-11,31800.0
2010-06-14,25600.0
2010-06-15,21000.0
2010-06-17,22000.0
2010-06-18,-55200.0
2010-06-21,46800.0
2010-06-22,-6200.0
2010-06-23,-10800.0
2010-06-24,1400.0
2010-06-25,-30400.0
2010-06-28,13200.0
2010-06-29,-33000.0
2010-06-30,-17000.0
2010-07-01,-4600.0
2010-07-02,6400.0
2010-07-05,39000.0
2010-07-06,35000.0
2010-07-07,-1000.0
2010-07-08,10400.0
2010-07-09,3000.0
2010-07-12,-8000.0
2010-07-13,5400.0
2010-07-14,22000.0
2010-07-15,11600.0
2010-07-16,-2600.0
2010-07-19,-4800.0
2010-07-20,12000.0
2010-07-21,-1200.0
2010-07-22,-20600.0
2010-07-23,26800.0
2010-07-26,3000.0
2010-07-27,-19200.0
2010-07-28,18200.0
2010-07-29,7200.0
2010-07-30,-8800.0
2010-08-02,45400.0
2010-08-03,14600.0
2010-08-04,12600.0
2010-08-05,5200.0
2010-08-06,15000.0
2010-08-09,15200.0
2010-08-10,-6800.0
2010-08-11,-9200.0
2010-08-12,-11800.0
2010-08-13,23800.0
2010-08-16,12600.0
2010-08-17,2400.0
2010-08-18,-4200.0
2010-08-19,-12000.0
2010-08-20,10600.0
2010-08-23,18800.0
2010-08-24,-16400.0
2010-08-25,-59200.0
2010-08-26,-13200.0
2010-08-27,19400.0
2010-08-30,18200.0
2010-08-31,-28600.0
2010-09-01,28000.0
2010-09-02,14200.0
2010-09-03,0.0
2010-09-06,32800.0
2010-09-07,4600.0
2010-09-08,-4600.0
2010-09-09,-12000.0
2010-09-10,14400.0
2010-09-13,48400.0
2010-09-14,5400.0
2010-09-15,9400.0
2010-09-16,-18400.0
2010-09-17,23000.0
2010-09-20,14200.0
2010-09-21,-6600.0
2010-09-23,3000.0
2010-09-24,-5600.0
2010-09-27,15200.0
2010-09-28,-5000.0
2010-09-29,9400.0
2010-09-30,-3000.0
2010-10-01,12800.0
2010-10-04,19600.0
2010-10-05,-3800.0
2010-10-06,26800.0
2010-10-07,-7000.0
2010-10-08,-9800.0
2010-10-11,-28400.0
2010-10-12,-8600.0
2010-10-13,12400.0
2010-10-14,52600.0
2010-10-15,7000.0
2010-10-18,-33400.0
2010-10-19,-17600.0
2010-10-20,12600.0
2010-10-21,9400.0
2010-10-22,5800.0
2010-10-25,42200.0
2010-10-26,13400.0
2010-10-27,-4800.0
2010-10-28,2000.0
2010-10-29,-20600.0
2010-11-01,34400.0
2010-11-02,-3400.0
2010-11-03,-9200.0
2010-11-04,13200.0
2010-11-05,48600.0
2010-11-08,17200.0
2010-11-09,2200.0
2010-11-10,-10800.0
2010-11-11,-2600.0
2010-11-12,-51400.0
2010-11-15,-31000.0
2010-11-16,9400.0
2010-11-17,-14800.0
2010-11-18,27600.0
2010-11-19,-12400.0
2010-11-22,13600.0
2010-11-23,-13400.0
2010-11-24,3200.0
2010-11-25,-7600.0
2010-11-26,-19000.0
2010-11-29,29000.0
2010-11-30,11600.0
2010-12-01,42600.0
2010-12-02,10000.0
2010-12-03,-15000.0
2010-12-06,26600.0
2010-12-07,7000.0
2010-12-08,-2800.0
2010-12-09,11600.0
2010-12-10,-27400.0
2010-12-13,0.0
2010-12-14,12400.0
2010-12-15,14400.0
2010-12-16,17000.0
2010-12-17,0.0
