,0
2003-01-21,-5800.0
2003-01-22,12600.0
2003-01-23,16600.0
2003-01-24,-4400.0
2003-01-27,-21400.0
2003-01-28,13200.0
2003-02-06,-49400.0
2003-02-07,-15200.0
2003-02-10,-11800.0
2003-02-11,-1000.0
2003-02-12,400.0
2003-02-13,-30400.0
2003-02-14,800.0
2003-02-17,40200.0
2003-02-18,-10800.0
2003-02-19,-18200.0
2003-02-20,3000.0
2003-02-21,-4000.0
2003-02-24,12200.0
2003-02-25,-30200.0
2003-02-26,200.0
2003-02-27,-8600.0
2003-03-03,21400.0
2003-03-04,-9200.0
2003-03-05,-16000.0
2003-03-06,1600.0
2003-03-07,-8400.0
2003-03-10,-4000.0
2003-03-11,-17000.0
2003-03-12,11000.0
2003-03-13,9600.0
2003-03-14,25200.0
2003-03-17,-32200.0
2003-03-18,44000.0
2003-03-19,-3600.0
2003-03-20,13600.0
2003-03-21,-1600.0
2003-03-24,-7800.0
2003-03-25,-13200.0
2003-03-26,-1000.0
2003-03-27,5200.0
2003-03-28,-8600.0
2003-03-31,-33400.0
2003-04-01,3000.0
2003-04-02,-1200.0
2003-04-03,8600.0
2003-04-04,26200.0
2003-04-07,20600.0
2003-04-08,-5000.0
2003-04-09,-8400.0
2003-04-10,1200.0
2003-04-11,1000.0
2003-04-14,-13400.0
2003-04-15,5200.0
2003-04-16,30000.0
2003-04-17,-13600.0
2003-04-18,20600.0
2003-04-21,-600.0
2003-04-22,-17200.0
2003-04-23,-200.0
2003-04-24,-42800.0
2003-04-25,-29000.0
2003-04-28,-17200.0
2003-04-29,14000.0
2003-04-30,-12000.0
2003-05-02,10800.0
2003-05-05,200.0
2003-05-06,-1000.0
2003-05-07,12000.0
2003-05-08,-16000.0
2003-05-09,11800.0
2003-05-12,4200.0
2003-05-13,14200.0
2003-05-14,4400.0
2003-05-15,-2800.0
2003-05-16,-12800.0
2003-05-19,-4200.0
2003-05-20,-2600.0
2003-05-21,2800.0
2003-05-22,200.0
2003-05-23,19800.0
2003-05-26,20800.0
2003-05-27,-2000.0
2003-05-28,10200.0
2003-05-29,-6400.0
2003-05-30,11400.0
2003-06-02,31000.0
2003-06-03,-1400.0
2003-06-05,13400.0
2003-06-06,1400.0
2003-06-09,13600.0
2003-06-10,4200.0
2003-06-11,-5200.0
2003-06-12,17200.0
2003-06-13,1800.0
2003-06-16,2600.0
2003-06-17,26800.0
2003-06-18,-4400.0
2003-06-19,10800.0
2003-06-20,-10000.0
2003-06-23,-18800.0
2003-06-24,-3800.0
2003-06-25,6800.0
2003-06-26,-11000.0
2003-06-27,-4800.0
2003-06-30,4800.0
2003-07-01,30600.0
2003-07-02,20400.0
2003-07-03,-3600.0
2003-07-04,13800.0
2003-07-07,35800.0
2003-07-08,2400.0
2003-07-09,-1400.0
2003-07-10,-25000.0
2003-07-11,3000.0
2003-07-14,29400.0
2003-07-15,-16800.0
2003-07-16,20200.0
2003-07-17,-35600.0
2003-07-18,800.0
2003-07-21,-3200.0
2003-07-22,10800.0
2003-07-23,2800.0
2003-07-24,21600.0
2003-07-25,-6200.0
2003-07-28,18200.0
2003-07-29,-24000.0
2003-07-30,-9400.0
2003-07-31,4400.0
2003-08-01,12000.0
2003-08-04,-4000.0
2003-08-05,-20200.0
2003-08-06,-5400.0
2003-08-07,7800.0
2003-08-08,-15000.0
2003-08-11,9000.0
2003-08-12,2800.0
2003-08-13,41200.0
2003-08-14,-1000.0
2003-08-15,4800.0
2003-08-18,9800.0
2003-08-19,3200.0
2003-08-20,-7000.0
2003-08-21,18200.0
2003-08-22,400.0
